uniprot_acc	inferred_tier_a	inferred_tier_b	confidence_score	contradiction_flag	composite_architecture	n_sources	conflict_notes	curator_decision	curator_notes
A0A6H0YIM9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIM1	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIL7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIL4	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIL3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YHL7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIG6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIG2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIE5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIB2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIU1	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YHL4	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YH09	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YHI1	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0JW21	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0JVS6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0JUB6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0JTZ0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G8QLC3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G8QHV5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G8QHV1	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G8QHU2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYM8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYL8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYK8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYJ7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYI5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYI4	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYH6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYH5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYG6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYA5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYA7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYB5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYB6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYC5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYC6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0JWD7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYD5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYD7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYE5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYE7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYF6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYF7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYG5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYD6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YHJ8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0JWF8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0JWH4	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YHC6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YHB7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YHB2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YH38	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YYE6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YGX0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YGW8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YGV5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YGU4	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YGS8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YGQ0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YGN5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YGL5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YGL2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YGK8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YGK7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YGI4	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0JWT2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0JXC2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0JYD7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0JYX1	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0MHE8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0MHM3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0JWG4	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0MHN6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0MLD0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0MM11	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YG69	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YGA3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YGE2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YGG1	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0MK69	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YYN0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YYU8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YYS6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M3U5G1	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M4F9D1	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M4F9I0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M4F9Q0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M4F9Q5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M4F9W5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M3U525	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M4FA11	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M4FAJ0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M4FBD0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M4FBD7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M4FBI9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M4FEG9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6AMG6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M4FAD7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6AMH0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M3U4Z4	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M3U4M3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WD92	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WDC7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WDH0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WDU9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WDZ5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WHW6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M3U4V0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WI28	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WIE1	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WIL2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WIR5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WJ83	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WJC2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6L2JZU6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WI81	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6AMI9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6AMK6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6AMN9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANV1	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANV4	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANY5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANZ5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6AP43	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6APH1	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANU8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6APH7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6APL0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6APL2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6APP2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6APR4	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6APR5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6APR6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6APJ1	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANU2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANT8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANS1	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6AMP9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6AMQ3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6AMQ4	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6AMR1	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6AMT3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6AMV8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANG5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANG9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANJ6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANK4	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANL0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANL9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANP3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANQ3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6M6ANQ8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WD23	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YYQ0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WBF5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3WBA7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H2U4P5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J0H1G3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J0HYW4	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J1YY23	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3PWB8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3PXR5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0Z1I6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3Q1Z7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3QTB6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3R1K1	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3R1K5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3R2Q9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3RE60	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3RM39	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3QSE8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6J3RNW6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0Z0Y9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0Z0P6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6G6VYA3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YYV2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YYY2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YZ13	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YZA6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YZD5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0Z0W2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YZM0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YZT5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YZV5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0Z0D8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0Z0E9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0Z0N5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0Z0N8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YZR6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
